Paulo Portas faz participação disciplinar de Daniel Campelo	ent1_opposes_ent2		2000-11-14 23:32:00	http://www.publico.pt/33	Paulo Portas	Daniel Campelo	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q10263926
Nuno Cardoso alerta Ferreira do Amaral para dificuldades em fazer campanha no Porto	other		2000-11-15 18:04:00	http://www.publico.pt/153	Nuno Cardoso	Ferreira do Amaral	https://www.wikidata.org/wiki/Q10338167	https://www.wikidata.org/wiki/Q3179722
Sílvio Cervan declara apoio a Ferreira do Amaral	ent1_supports_ent2		2000-11-16 08:22:00	http://www.publico.pt/231	Sílvio Cervan	Ferreira do Amaral	None	https://www.wikidata.org/wiki/Q3179722
Sampaio não comenta acusações de Ferreira do Amaral	ent2_opposes_ent1		2000-11-17 11:10:00	http://www.publico.pt/382	Sampaio	Ferreira do Amaral	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q3179722
Ferreira do Amaral congratula-se com apoio de Freitas do Amaral	ent2_supports_ent1		2000-11-18 15:33:00	http://www.publico.pt/487	Ferreira do Amaral	Freitas do Amaral	https://www.wikidata.org/wiki/Q3179722	https://www.wikidata.org/wiki/Q438868
Edite Estrela diz que António Capucho desconhece lei autárquica	other		2000-11-19 17:24:00	http://www.publico.pt/588	Edite Estrela	António Capucho	https://www.wikidata.org/wiki/Q3047625	https://www.wikidata.org/wiki/Q9618827
Guterres não aceita demissão de António Costa	other		2000-12-04 13:32:00	http://www.publico.pt/2389	Guterres	António Costa	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q610788
Mário Soares considera «muito estranho» o pedido de demissão de António Costa	other		2000-12-04 18:12:00	http://www.publico.pt/2424	Mário Soares	António Costa	https://www.wikidata.org/wiki/Q156781	https://www.wikidata.org/wiki/Q610788
Sá Fernandes acusa António Costa de defender interesses corporativos	ent1_opposes_ent2		2000-12-04 18:23:00	http://www.publico.pt/2425	Sá Fernandes	António Costa	https://www.wikidata.org/wiki/Q85876953	https://www.wikidata.org/wiki/Q610788
Demissão de Sá Fernandes aceite por Guterres por respeito ao princípio da separação de poderes	other		2000-12-04 19:10:00	http://www.publico.pt/2464	Sá Fernandes	Guterres	https://www.wikidata.org/wiki/Q85876953	https://www.wikidata.org/wiki/Q311440
António Costa justifica recuo com falta de fundamento das acusações de Sá Fernandes	ent2_opposes_ent1		2000-12-04 21:33:00	http://www.publico.pt/2473	António Costa	Sá Fernandes	https://www.wikidata.org/wiki/Q610788	https://www.wikidata.org/wiki/Q85876953
Cunha Rodrigues ameaça processar Freitas do Amaral	ent1_opposes_ent2		2000-12-05 11:51:00	http://www.publico.pt/2514	Cunha Rodrigues	Freitas do Amaral	https://www.wikidata.org/wiki/Q10310185	https://www.wikidata.org/wiki/Q438868
Renovador João Amaral batido em aplausos pelo conservador Jerónimo de Sousa	other		2000-12-08 21:40:00	http://www.publico.pt/2929	João Amaral	Jerónimo de Sousa	None	https://www.wikidata.org/wiki/Q1688029
Paulo Portas exige afastamento do ministro Armando Vara	ent1_opposes_ent2		2000-12-09 21:17:00	http://www.publico.pt/3006	Paulo Portas	Armando Vara	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q4792848
Ferreira do Amaral afirma que Sampaio não pode ser «relações públicas» do Governo	ent1_opposes_ent2		2000-12-11 17:29:00	http://www.publico.pt/3168	Ferreira do Amaral	Sampaio	https://www.wikidata.org/wiki/Q3179722	https://www.wikidata.org/wiki/Q156780
Fernando Gomes não será embaixador de Portugal na OCDE, revelou António Guterres	other		2000-12-14 17:24:00	http://www.publico.pt/3541	Fernando Gomes	António Guterres	https://www.wikidata.org/wiki/Q10281366	https://www.wikidata.org/wiki/Q311440
Edite Estrela responsabiliza Fernando Gomes pela polémica à volta da Fundação	ent1_opposes_ent2		2000-12-15 12:56:00	http://www.publico.pt/3656	Edite Estrela	Fernando Gomes	https://www.wikidata.org/wiki/Q3047625	https://www.wikidata.org/wiki/Q10281366
Francisco Assis sai em defesa de Fernando Gomes	ent1_supports_ent2		2000-12-15 20:11:00	http://www.publico.pt/3718	Francisco Assis	Fernando Gomes	https://www.wikidata.org/wiki/Q656518	https://www.wikidata.org/wiki/Q10281366
Narciso Miranda rejeita acusação de linchamento político a Fernando Gomes	ent1_opposes_ent2		2000-12-16 18:19:00	http://www.publico.pt/3787	Narciso Miranda	Fernando Gomes	https://www.wikidata.org/wiki/Q10335529	https://www.wikidata.org/wiki/Q10281366
Guterres escreve carta a Gomes	other		2000-12-17 08:10:00	http://www.publico.pt/3830	Guterres	Gomes	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q10281366
Almeida Santos considera que António Guterres é o único candidato a líder	other		2000-12-21 00:52:00	http://www.publico.pt/4303	Almeida Santos	António Guterres	https://www.wikidata.org/wiki/Q611579	https://www.wikidata.org/wiki/Q311440
Sampaio pergunta a Ferreira do Amaral o que fez pelo país enquanto deputado	ent1_opposes_ent2		2000-12-29 09:20:00	http://www.publico.pt/5095	Sampaio	Ferreira do Amaral	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q3179722
Fernando Rosas pede exoneração de Martins Barrento	ent1_opposes_ent2		2001-01-01 11:30:00	http://www.publico.pt/5349	Fernando Rosas	Martins Barrento	https://www.wikidata.org/wiki/Q5444915	None
Edite Estrela justifica revelação da conversa privada com Policarpo	meet_together		2001-01-02 08:33:00	http://www.publico.pt/5403	Edite Estrela	Policarpo	https://www.wikidata.org/wiki/Q3047625	https://www.wikidata.org/wiki/Q45043
Jorge Sampaio não comenta conselhos de D. José Policarpo	other		2001-01-02 15:22:00	http://www.publico.pt/5438	Jorge Sampaio	D. José Policarpo	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q45043
António Abreu considera deselegante atitude de Edite Estrela	ent1_opposes_ent2		2001-01-02 15:48:00	http://www.publico.pt/5440	António Abreu	Edite Estrela	https://www.wikidata.org/wiki/Q4777608	https://www.wikidata.org/wiki/Q3047625
Ferreira do Amaral acusa Sampaio de aproveitamento da questão do Kosovo	ent1_opposes_ent2		2001-01-05 16:20:00	http://www.publico.pt/5865	Ferreira do Amaral	Sampaio	https://www.wikidata.org/wiki/Q3179722	https://www.wikidata.org/wiki/Q156780
Guterres comparece na apresentação da comissão de honra de Sampaio	other		2001-01-07 21:00:00	http://www.publico.pt/6114	Guterres	Sampaio	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q156780
Guterres vai pedir reavaliação da autópsia de Hugo Paulino	other		2001-01-09 15:30:00	http://www.publico.pt/6364	Guterres	Hugo Paulino	https://www.wikidata.org/wiki/Q311440	None
Ferreira do Amaral volta a criticar presença de Sampaio na Porto 2001	ent1_opposes_ent2		2001-01-10 18:48:00	http://www.publico.pt/6536	Ferreira do Amaral	Sampaio	https://www.wikidata.org/wiki/Q3179722	https://www.wikidata.org/wiki/Q156780
Ferreira do Amaral critica discórdia entre Sampaio e Gama	other		2001-01-10 23:08:00	http://www.publico.pt/6595	Ferreira do Amaral	Sampaio	https://www.wikidata.org/wiki/Q3179722	https://www.wikidata.org/wiki/Q156780
Louçã acusa Martins Barrento de ser "incompetente"	ent1_opposes_ent2		2001-01-12 10:08:00	http://www.publico.pt/6778	Louçã	Martins Barrento	https://www.wikidata.org/wiki/Q1442096	None
Clinton alerta Bush para os perigos duma redução excessiva dos impostos	other		2001-01-12 20:31:00	http://www.publico.pt/6854	Clinton	Bush	https://www.wikidata.org/wiki/Q1124	https://www.wikidata.org/wiki/Q207
Dias Loureiro sublinha tarefa difícil da candidatura de Ferreira do Amaral	other		2001-01-14 21:58:00	http://www.publico.pt/7065	Dias Loureiro	Ferreira do Amaral	https://www.wikidata.org/wiki/Q10324087	https://www.wikidata.org/wiki/Q3179722
Jaime Gama recusa comentar contradições entre Sampaio e Castro Caldas	other		2001-01-24 16:35:00	http://www.publico.pt/8385	Jaime Gama	Sampaio	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q156780
Castro Caldas não comenta polémica com Jorge Sampaio	other		2001-01-24 17:08:00	http://www.publico.pt/8390	Castro Caldas	Jorge Sampaio	https://www.wikidata.org/wiki/Q10313391	https://www.wikidata.org/wiki/Q156780
Pedro Pires e Carlos Veiga decidem hoje Presidência de Cabo Verde	other		2001-02-11 07:27:00	http://www.publico.pt/10565	Pedro Pires	Carlos Veiga	https://www.wikidata.org/wiki/Q107431	https://www.wikidata.org/wiki/Q500378
Jaime Gama encontra-se hoje com Fernando Henrique Cardoso	meet_together		2001-02-14 11:00:00	http://www.publico.pt/10958	Jaime Gama	Fernando Henrique Cardoso	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q230578
Fernando Gomes não é o protagonista que o Porto precisa, diz Nuno Cardoso	ent2_opposes_ent1		2001-02-22 09:46:00	http://www.publico.pt/11984	Fernando Gomes	Nuno Cardoso	https://www.wikidata.org/wiki/Q10281366	https://www.wikidata.org/wiki/Q10338167
Guterres garante que sequestro de Neto Valente não teve motivações políticas	other		2001-03-01 20:12:00	http://www.publico.pt/12922	Guterres	Neto Valente	https://www.wikidata.org/wiki/Q311440	None
José Sócrates recusou substituir Jorge Coelho	other		2001-03-10 07:45:00	http://www.publico.pt/14138	José Sócrates	Jorge Coelho	https://www.wikidata.org/wiki/Q182367	https://www.wikidata.org/wiki/Q3183808
Silva Viegas toma hoje posse e substitui Martins Barrento	ent1_replaces_ent2		2001-03-19 07:13:00	http://www.publico.pt/15362	Silva Viegas	Martins Barrento	None	None
Jorge Coelho considera declarações de Pires Lima "inadmissíveis e absurdas"	ent1_opposes_ent2		2001-03-31 08:15:00	http://www.publico.pt/17122	Jorge Coelho	Pires Lima	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q9620029
Governo devia ser o alvo das críticas de Guterres, diz Tavares Moreira	other		2001-04-06 14:10:00	http://www.publico.pt/17962	Guterres	Tavares Moreira	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q7689030
Paulo Portas critica Mário Soares por causa de Cabinda	ent1_opposes_ent2		2001-04-08 09:20:00	http://www.publico.pt/18164	Paulo Portas	Mário Soares	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q156781
Jorge Coelho prepara sucessão de Guterres	other		2001-04-09 07:28:00	http://www.publico.pt/18251	Jorge Coelho	Guterres	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q311440
Jorge Coelho não pretende cargo de António Guterres	other		2001-04-11 13:28:00	http://www.publico.pt/18547	Jorge Coelho	António Guterres	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q311440
Delerue exige demissão de Luís Filipe Menezes	ent1_opposes_ent2		2001-04-20 17:39:00	http://www.publico.pt/19783	Delerue	Luís Filipe Menezes	None	https://www.wikidata.org/wiki/Q6706787
Sampaio escreve a Almeida Santos sobre financiamento partidário	other		2001-04-24 08:07:00	http://www.publico.pt/20234	Sampaio	Almeida Santos	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q611579
Helena Roseta acusa Coelho de descredibilizar congresso	ent1_opposes_ent2		2001-04-27 10:23:00	http://www.publico.pt/20665	Helena Roseta	Coelho	https://www.wikidata.org/wiki/Q10294464	https://www.wikidata.org/wiki/Q3183808
Paulo Portas considera João Soares principal adversário às autárquicas de Lisboa	ent1_opposes_ent2		2001-04-28 14:50:00	http://www.publico.pt/20812	Paulo Portas	João Soares	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q1340708
Francisco Assis lamenta ausência de Manuel Alegre no congresso socialista	other		2001-05-04 10:37:00	http://www.publico.pt/21506	Francisco Assis	Manuel Alegre	https://www.wikidata.org/wiki/Q656518	https://www.wikidata.org/wiki/Q737410
Sócrates considera aprovação da moção de Roseta «um erro político»	other		2001-05-05 19:41:00	http://www.publico.pt/21731	Sócrates	Roseta	https://www.wikidata.org/wiki/Q182367	https://www.wikidata.org/wiki/Q10294464
Helena Roseta apoia eventual candidatura de Manuel Alegre para a liderança do PS	ent1_supports_ent2		2001-05-07 10:43:00	http://www.publico.pt/21929	Helena Roseta	Manuel Alegre	https://www.wikidata.org/wiki/Q10294464	https://www.wikidata.org/wiki/Q737410
Jorge Coelho nega envolvimento e defende Armando Vara	ent1_supports_ent2		2001-05-08 12:52:00	http://www.publico.pt/22101	Jorge Coelho	Armando Vara	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q4792848
Carlos Carvalhas diz que Jorge Coelho quer derrubar o Governo	ent1_opposes_ent2		2001-05-09 19:37:00	http://www.publico.pt/22297	Carlos Carvalhas	Jorge Coelho	https://www.wikidata.org/wiki/Q1042803	https://www.wikidata.org/wiki/Q3183808
Coelho afirma que Gomes «vai ser novamente presidente da Câmara do Porto»	ent1_supports_ent2		2001-05-12 00:47:00	http://www.publico.pt/22652	Coelho	Gomes	https://www.wikidata.org/wiki/Q3186409	https://www.wikidata.org/wiki/Q10281366
Sampaio critica política de saúde de Arcanjo	ent1_opposes_ent2		2001-05-16 10:12:00	http://www.publico.pt/23194	Sampaio	Arcanjo	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q10324724
Jorge Coelho diz que Cavaco não tem moral para criticar	ent1_opposes_ent2		2001-05-17 10:38:00	http://www.publico.pt/23354	Jorge Coelho	Cavaco	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q57398
Críticas de Cavaco são motivo de orgulho para Guterres	other		2001-05-17 13:58:00	http://www.publico.pt/23389	Cavaco	Guterres	https://www.wikidata.org/wiki/Q57398	https://www.wikidata.org/wiki/Q311440
Guterres acusa Cavaco Silva de despesismo	ent1_opposes_ent2		2001-05-18 20:11:00	http://www.publico.pt/23625	Guterres	Cavaco Silva	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q57398
Abertura de Bush para defesa colectiva reconhecida por Guterres	other		2001-06-13 22:03:00	http://www.publico.pt/27391	Bush	Guterres	https://www.wikidata.org/wiki/Q207	https://www.wikidata.org/wiki/Q311440
Narciso Miranda ausente no jantar de apresentação de Gomes	other		2001-06-15 14:37:00	http://www.publico.pt/27567	Narciso Miranda	Gomes	https://www.wikidata.org/wiki/Q10335529	https://www.wikidata.org/wiki/Q10281366
Nuno Cardoso faz declarações embaraçosas para Fernando Gomes	ent1_opposes_ent2		2001-06-17 07:52:00	http://www.publico.pt/27757	Nuno Cardoso	Fernando Gomes	https://www.wikidata.org/wiki/Q10338167	https://www.wikidata.org/wiki/Q10281366
Nuno Cardoso critica Fernando Gomes	ent1_opposes_ent2		2001-06-19 23:35:00	http://www.publico.pt/28178	Nuno Cardoso	Fernando Gomes	https://www.wikidata.org/wiki/Q10338167	https://www.wikidata.org/wiki/Q10281366
Pina Moura terá pedido demissão a Guterres	other		2001-06-21 13:08:00	http://www.publico.pt/28383	Pina Moura	Guterres	https://www.wikidata.org/wiki/Q3179732	https://www.wikidata.org/wiki/Q311440
Guterres fala aos jornalistas no final de audiência com Sampaio	meet_together		2001-06-29 16:09:00	http://www.publico.pt/29579	Guterres	Sampaio	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q156780
Carlos Encarnação considera Oliveira Martins «pau para toda a obra»	ent1_supports_ent2		2001-06-29 17:39:00	http://www.publico.pt/29601	Carlos Encarnação	Oliveira Martins	https://www.wikidata.org/wiki/Q9697042	https://www.wikidata.org/wiki/Q3119570
João Salgueiro considera Oliveira Martins uma óptima escolha	ent1_supports_ent2		2001-06-29 19:00:00	http://www.publico.pt/29631	João Salgueiro	Oliveira Martins	https://www.wikidata.org/wiki/Q10311869	https://www.wikidata.org/wiki/Q3119570
País precisa de homens como Armando Vara, diz Jorge Coelho	ent2_supports_ent1		2001-07-04 12:08:00	http://www.publico.pt/30182	Armando Vara	Jorge Coelho	https://www.wikidata.org/wiki/Q4792848	https://www.wikidata.org/wiki/Q3183808
Fátima Felgueiras apresenta candidatura com apoio de Coelho	ent2_supports_ent1		2001-07-05 09:03:00	http://www.publico.pt/30299	Fátima Felgueiras	Coelho	https://www.wikidata.org/wiki/Q5511406	https://www.wikidata.org/wiki/Q3183808
Nuno Cardoso exige pedido de desculpa a Rui Rio	ent1_opposes_ent2		2001-07-10 20:58:00	http://www.publico.pt/31021	Nuno Cardoso	Rui Rio	https://www.wikidata.org/wiki/Q10338167	https://www.wikidata.org/wiki/Q7378729
Paulo Portas incitou Sampaio a convocar eleições antecipadas	other		2001-07-12 20:43:00	http://www.publico.pt/31272	Paulo Portas	Sampaio	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q156780
Carlos Brito surprendido com escolha de Bernardino Soares	other		2001-07-13 14:03:00	http://www.publico.pt/31366	Carlos Brito	Bernardino Soares	https://www.wikidata.org/wiki/Q5041861	https://www.wikidata.org/wiki/Q9169371
Saída de Octávio Teixeira vai fragilizar grupo parlamentar comunista, diz Almeida Santos	other		2001-07-13 15:20:00	http://www.publico.pt/31372	Octávio Teixeira	Almeida Santos	None	https://www.wikidata.org/wiki/Q611579
Sócrates repete argumentos de Elisa Ferreira	other		2001-07-27 20:25:00	http://www.publico.pt/33342	Sócrates	Elisa Ferreira	https://www.wikidata.org/wiki/Q182367	https://www.wikidata.org/wiki/Q5361358
Marques Mendes apela a Sampaio que vete "regionalização encapotada "	other		2001-07-28 11:47:00	http://www.publico.pt/33416	Marques Mendes	Sampaio	https://www.wikidata.org/wiki/Q550243	https://www.wikidata.org/wiki/Q156780
Otelo Saraiva de Carvalho e Rosa Coutinho lembram Francisco Costa Gomes	other		2001-07-31 14:40:00	http://www.publico.pt/33786	Rosa Coutinho	Francisco Costa Gomes	None	https://www.wikidata.org/wiki/Q348880
Costa Gomes é figura marcante da nossa história, diz Alvarenga Sousa Santos	ent2_supports_ent1		2001-07-31 14:51:00	http://www.publico.pt/33789	Costa Gomes	Alvarenga Sousa Santos	https://www.wikidata.org/wiki/Q348880	https://www.wikidata.org/wiki/Q19607921
Mário Soares considera Costa Gomes «homem de ambiguidades indisfarçáveis»	ent1_supports_ent2		2001-07-31 15:16:00	http://www.publico.pt/33791	Mário Soares	Costa Gomes	https://www.wikidata.org/wiki/Q156781	https://www.wikidata.org/wiki/Q348880
Costa Gomes foi militar de «grande prestígio e incontroversa distinção», diz Eanes	ent2_supports_ent1		2001-08-01 15:06:00	http://www.publico.pt/33932	Costa Gomes	Eanes	https://www.wikidata.org/wiki/Q348880	https://www.wikidata.org/wiki/Q60114
Paulo Portas recusa comentar percurso de Costa Gomes	other		2001-08-01 15:34:00	http://www.publico.pt/33937	Paulo Portas	Costa Gomes	https://www.wikidata.org/wiki/Q58161	https://www.wikidata.org/wiki/Q348880
Gama convidou Alatas para jantar na embaixada portuguesa em Jacarta	other		2001-08-01 16:16:00	http://www.publico.pt/33944	Gama	Alatas	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q957483
Gomes é o meu candidato, diz Narciso Miranda	ent2_supports_ent1		2001-08-11 08:02:00	http://www.publico.pt/35202	Gomes	Narciso Miranda	https://www.wikidata.org/wiki/Q10335529	https://www.wikidata.org/wiki/Q10335529
José Seguro diz que investigações a Catarina Vaz Pinto são mera rotina	ent1_supports_ent2		2001-08-16 15:33:00	http://www.publico.pt/35797	José Seguro	Catarina Vaz Pinto	http://www.wikidata.org/entity/Q1580316	https://www.wikidata.org/wiki/Q27134712
Santana Lopes lança ultimato a Paulo Portas sobre coligação em Lisboa	ent1_opposes_ent2		2001-08-31 17:38:00	http://www.publico.pt/37822	Santana Lopes	Paulo Portas	https://www.wikidata.org/wiki/Q239248	https://www.wikidata.org/wiki/Q58161
Discurso da estabilidade já foi utilizado por Cavaco, diz Carvalhas	other		2001-09-04 08:57:00	http://www.publico.pt/38263	Cavaco	Carvalhas	https://www.wikidata.org/wiki/Q57398	https://www.wikidata.org/wiki/Q1042803
Governos de Cavaco Silva marcados pelo «novo riquismo», acusa Guterres	ent2_opposes_ent1		2001-09-06 19:43:00	http://www.publico.pt/38637	Cavaco Silva	Guterres	https://www.wikidata.org/wiki/Q57398	https://www.wikidata.org/wiki/Q311440
Guterres recusa condições de Portas para participar nas discussões do OE	ent1_opposes_ent2		2001-09-15 09:53:00	http://www.publico.pt/40117	Guterres	Portas	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q58161
Guterres espera que Bin Laden seja entregue à Justiça americana	other		2001-09-19 15:34:00	http://www.publico.pt/40808	Guterres	Bin Laden	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q1317
Ferreira Leite leva Jorge Neto para a direcção da bancada laranja	ent1_supports_ent2		2001-09-27 11:21:00	http://www.publico.pt/42005	Ferreira Leite	Jorge Neto	https://www.wikidata.org/wiki/Q444059	None
Jaime Gama encontra-se com Colin Powell quarta-feira	meet_together		2001-09-28 17:15:00	http://www.publico.pt/42231	Jaime Gama	Colin Powell	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q150851
Fernando Gomes não comenta decisão de Nuno Cardoso	other		2001-10-01 16:12:00	http://www.publico.pt/42642	Fernando Gomes	Nuno Cardoso	https://www.wikidata.org/wiki/Q10281366	https://www.wikidata.org/wiki/Q10338167
Narciso Miranda contente com decisão de Nuno Cardoso	ent1_supports_ent2		2001-10-01 17:11:00	http://www.publico.pt/42653	Narciso Miranda	Nuno Cardoso	https://www.wikidata.org/wiki/Q10335529	https://www.wikidata.org/wiki/Q10338167
Gama vai reunir-se com membros do gabinete de guerra de Bush	other		2001-10-02 17:11:00	http://www.publico.pt/42839	Gama	Bush	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q207
Confronto político com Nuno Cardoso seria «doloroso», diz Fernando Gomes	other		2001-10-02 17:44:00	http://www.publico.pt/42848	Nuno Cardoso	Fernando Gomes	https://www.wikidata.org/wiki/Q10338167	https://www.wikidata.org/wiki/Q10281366
Sampaio não acredita em alternativa a Guterres	ent1_supports_ent2		2001-11-05 10:46:00	http://www.publico.pt/48309	Sampaio	Guterres	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q311440
Sampaio critica cimeira restrita convocada por Tony Blair	other		2001-11-05 14:22:00	http://www.publico.pt/48345	Sampaio	Tony Blair	https://www.wikidata.org/wiki/Q156780	https://www.wikidata.org/wiki/Q9545
Campelo reúne-se com Oliveira Martins para decidir voto no Orçamento	other		2001-11-06 10:32:00	http://www.publico.pt/48482	Campelo	Oliveira Martins	https://www.wikidata.org/wiki/Q10263926	https://www.wikidata.org/wiki/Q3119570
Guterres escreve a primeiro-ministro belga para protestar contra reunião de Blair	other		2001-11-07 23:11:00	http://www.publico.pt/48742	Guterres	Blair	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q9545
Guterres diz ser muito provável que Campelo viabilize Orçamento	other		2001-11-08 09:08:00	http://www.publico.pt/48763	Guterres	Campelo	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q10263926
Marcelo acusa Almeida Santos de «esconder mentira» da votação	ent1_opposes_ent2		2001-11-08 19:31:00	http://www.publico.pt/48874	Marcelo	Almeida Santos	https://www.wikidata.org/wiki/Q6756617	https://www.wikidata.org/wiki/Q611579
Gama discute isenção de vistos com Colin Powell	meet_together		2001-11-09 09:45:00	http://www.publico.pt/48939	Gama	Colin Powell	https://www.wikidata.org/wiki/Q472589	https://www.wikidata.org/wiki/Q150851
Almeida Santos responde a Rebelo de Sousa sobre LPM	other		2001-11-09 19:08:00	http://www.publico.pt/49033	Almeida Santos	Rebelo de Sousa	https://www.wikidata.org/wiki/Q611579	https://www.wikidata.org/wiki/Q6756617
António Guterres reúne-se com Tony Blair na quarta-feira	meet_together		2001-11-10 11:23:00	http://www.publico.pt/49111	António Guterres	Tony Blair	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q9545
Jorge Coelho acusa Duarão Barroso de fazer «política de terra queimada»	ent1_opposes_ent2		2001-11-10 19:15:00	http://www.publico.pt/49172	Jorge Coelho	Duarão Barroso	https://www.wikidata.org/wiki/Q3183808	https://www.wikidata.org/wiki/Q15849
Guterres recebe Romano Prodi amanhã	meet_together		2001-11-14 13:45:00	http://www.publico.pt/49754	Guterres	Romano Prodi	https://www.wikidata.org/wiki/Q311440	https://www.wikidata.org/wiki/Q38484
Ferreira Leite nega ter recebido carta de Duarte Lima	other		2001-11-14 23:51:00	http://www.publico.pt/49846	Ferreira Leite	Duarte Lima	https://www.wikidata.org/wiki/Q444059	https://www.wikidata.org/wiki/Q5290424
Isaltino Morais critica declarações de Sampaio sobre autarquias	ent1_opposes_ent2		2001-11-15 13:18:00	http://www.publico.pt/49913	Isaltino Morais	Sampaio	https://www.wikidata.org/wiki/Q993533	https://www.wikidata.org/wiki/Q156780
Santana abriu pré-campanha acusando Soares de ser preguiçoso	ent1_opposes_ent2		2001-11-20 10:45:00	http://www.publico.pt/50622	Santana	Soares	https://www.wikidata.org/wiki/Q239248	https://www.wikidata.org/wiki/Q156781
