Q3331969,Mário Ferreira
Q2844986,Ana Gomes
Q1688029,Jerónimo de Sousa
Q57398,Aníbal Cavaco Silva
Q5716738,Henrique Neto
Q7378729,Rui Rio
Q6293647,José Pacheco Pereira
Q295049,Manuel Pinto da Costa
Q182367,José Sócrates
Q6706787,Luís Filipe Menezes
Q4007647,Valentim Loureiro
Q3069519,Fernando Nobre
Q737410,Manuel Alegre
Q610788,António Costa
Q439377,Assunção Cristas
Q10294766,Henrique Granadeiro
Q357941,Mário Lino
Q10346767,Paulo Rangel
Q57615,Pedro Passos Coelho
Q9696942,Carlos Carreiras
Q612666,Catarina Martins
Q3075716,Paula Teixeira da Cruz
Q3131021,Miguel Macedo
Q3183843,Jorge Lacão
Q15980671,Carlos Zorrinho
Q10347660,Pedro Nuno Santos
Q156781,Mário Soares
Q21568721,Mário Centeno
Q10294464,Helena Roseta
Q784504,Alberto João Jardim
Q567,Angela Merkel
Q18707871,Carlos Alexandre
Q1340708,João Barroso Soares
Q239248,Pedro Santana Lopes
Q66688848,Paulino Ascenção
Q10329706,Miguel Albuquerque
Q85876953,Ricardo Sá Fernandes
Q6756617,Marcelo Rebelo de Sousa
Q13582493,Manuel Maria Carrilho
Q5043745,Carmona Rodrigues
Q1442096,Francisco Louçã
Q65496709,Nuno Godinho de Matos
Q15267277,Ricardo Salgado
Q11860,Silvio Berlusconi
Q38484,Romano Prodi
Q13581124,Maria Luís Albuquerque
Q57661,Jean-Claude Juncker
Q3186409,José Manuel Coelho
Q13581707,Bárbara Guimarães
Q10322865,Macário Correia
Q3183808,Jorge Coelho
Q69935603,André Ventura
Q2857730,Bagão Félix
Q656518,Francisco Assis
Q3062583,Francisco Lopes
Q2571494,Carlos César
Q58161,Paulo Portas
Q529992,Vítor Constâncio
Q22686,Donald Trump
Q16940727,Rui Gomes da Silva
Q22298080,Pedro Guerra
Q3496740,Luís Capoulas Santos
Q5361358,Elisa Ferreira
Q72426658,Ana Abrunhosa
Q550243,Luís Marques Mendes
Q7747,Vladimir Putin
Q23836573,Teresa Morais
Q769747,Augusto Santos Silva
Q73104708,Rui Barreto
Q16940732,Rui Moreira
Q65498266,Ana Catarina Mendes
Q655391,João Semedo
Q444059,Manuela Ferreira Leite
Q4576565,Jorge Moreira da Silva
Q472589,Jaime Gama
Q925136,Eduardo Ferro Rodrigues
Q1382767,Manuel Pinho
Q91901804,José Júlio Pereira Gomes
Q349505,Belmiro de Azevedo
Q1382641,Luís Amado
Q2857765,António Victor Martins Monteiro
Q22005939,Pedro Marques
Q5290424,Duarte Lima
Q42297127,João Torres
Q15849,José Manuel Durão Barroso
Q311440,António Guterres
Q64688,José Lello
Q17496474,Mariana Mortágua
Q1042803,Carlos Carvalhas
Q10338219,Nuno Melo
Q10361221,Ricardo Rodrigues
Q10292842,Guilherme Silva
Q3186389,José Luís Arnaut
Q11767932,Marco António Costa
Q1580316,António José Seguro
Q6752494,Manuel Carvalho da Silva
Q156780,Jorge Sampaio
Q200941,António Vitorino
Q5444915,Fernando Rosas
Q10338167,Nuno Cardoso
Q10281366,Fernando Gomes
Q5482965,Francisca Van Dunem
Q10365280,Rui Machete
Q16019,Wolfgang Schäuble
Q2511022,Vasco Lourenço
Q1353499,Otelo Saraiva de Carvalho
Q65499184,Paulo Pisco
Q440355,Marisa Matias
Q4777562,Garcia Pereira
Q14982876,José Maria Espírito Santo Silva Ricciardi
Q6752420,Manuel dos Santos
Q2118027,Vítor Gaspar
Q4792848,Armando Vara
Q25694309,Júlio Meirinhos
Q98446386,Guilherme Pinto
Q74256324,José Luís Carneiro
Q524996,Carlos Costa
Q16940806,Sérgio Silva Monteiro
Q103998211,José Silvano
Q312015,Alexis Tsipras
Q2344342,Nuno Crato
Q69916868,Joacine Katar Moreira
Q10263981,Daniel Oliveira
Q76,Barack Obama
Q13576558,Miguel Poiares Maduro
Q10324736,Manuela Moura Guedes
Q9697231,Carlos Moedas
Q6761683,Maria de Belém Roseira
Q250919,Álvaro Cunhal
Q1567582,Miguel Sousa Tavares
Q10308185,Jorge Miranda
Q3186200,José Manuel Rodrigues Berardo
Q16337382,Edmundo Pedro
Q3021885,Álvaro Santos Pereira
Q10392072,Vitalino Canas
Q10309118,José Carlos Rodrigues
Q14983130,Paulo Cafôfo
Q10324447,Manuel Pizarro
Q2913325,Pedro Mota Soares
Q527722,Miguel Relvas
Q7666117,Sérgio Sousa Pinto
Q21857888,Edgar Silva
Q9594142,Alberto Arons de Carvalho
Q5340560,Eduardo Catroga
Q10321414,Luís Fazenda
Q40688,Yanis Varoufakis
Q993533,Isaltino Morais
Q43422874,Ricardo Mourinho Félix
Q23778050,João Miguel Tavares
Q19409554,Isabel Moreira
Q10389338,Vasco Pulido Valente
Q37181,lula ladrao da silva
Q9029075,Marina Ferreira
Q11764394,Luís Montenegro
Q11728611,José Mendes Bota
Q73400540,Ivo Rosa
Q446042,Vital Moreira
Q16336748,António Pires de Lima
Q4777638,António Sampaio da Nóvoa
Q1555060,José Pedro Aguiar Branco
Q971595,Heloísa Apolónia
Q40722,Dilma Rousseff
Q10346718,Paulo Mota Pinto
Q101584344,Isabel Meireles
Q1386216,José Ribeiro e Castro
Q75062,Maria Barroso
Q9594512,Alberto S. Santos
Q729402,Rui Pereira
Q10281462,Fernando Negrão
Q23905333,Manuel Heitor
Q367910,Mariano Gago
Q25440961,Paulo Núncio
Q10313391,Júlio Castro Caldas
Q9650912,Basílio Horta
Q10305694,Jardim Gonçalves
Q21140733,Luaty Beirão
Q28650390,João Lourenço
Q921602,Jaime Silva
Q381029,Francisco Pinto Balsemão
Q16143885,Agostinho Branquinho
Q3047625,Edite Estrela
Q16498018,Berta Cabral
Q732154,Miguel Cadilhe
Q64685,João Cravinho
Q10263926,Daniel Campelo
Q23904964,Ana Paula Vitorino
Q10325930,Maria José Nogueira Pinto
Q23799289,Tiago Brandão Rodrigues
Q23290826,Vítor Wengorovius
Q4777639,António Sousa Franco
Q10347715,Pedro Queiroz Pereira
Q60780752,Mário Machado
Q9619510,António Lobo Xavier
Q157,François Hollande
Q10281523,Fernando Seara
Q2939466,Carlos Tavares
Q745134,Mota Amaral
Q10392723,Vítor Bento
Q65498301,Maximiano Martins
Q6752747,Manuel Monteiro
Q294460,Mario Draghi
Q17496450,António Chora
Q10343483,Padre Max
Q10321580,Luís Nobre Guedes
Q9619875,António Nogueira Leite
Q367010,Francisco Sá Carneiro
Q2066785,Pedro Silva Pereira
Q10281394,Fernando José Pinto Monteiro
Q3129652,Helena André
Q586749,Fernando Teixeira dos Santos
Q42851646,Hugo Soares
Q611182,Marinho Pinto
Q10321568,Luís Mira Amaral
Q17420856,Carlos Pimenta
Q456034,Isabel dos Santos
Q329,Nicolas Sarkozy
Q611579,António de Almeida Santos
Q266197,Defensor Moura
Q3052772,Emmanuel Macron
Q20017756,Fernando Medina
